Incorrect Tokenized,Correct Tokenized
මම කියවමි පොතක් .,මම පොතක් කියවමි
පොතක් කියවමි මම .,මම පොතක් කියවමි
ඔහු කොහේද ?,ඔහු කොහිද ?
ඔයා කරනවාද කතා ?,ඔයා කතා කරනවාද ?
පාසැල් යන්නේද දරුවෝ ?,දරුවෝ පාසැල් යන්නෝය
මට පුළුවන්ද එන්න ?,මට එන්න පුළුවන්ද ?
අපි කියවමු පොතක්,"අපි පොතක් කියවමු ,"
පාසැල් නුඹ යන්නෙහි,නුඹ පාසැල් යන්නෙහි
ඔබ සැම ගුරුතුමාට කරන්නෙහු ආචාර,ඔබ සැම ගුරුතුමාට ආචාර කරන්නෙහු
ගුරුතුමා උගන්වයි පාඩම,ගුරුතුමා පාඩම උගන්වයි
ගුරුවරු උගන්වති පාඩම්,ගුරුවරු පාඩම් උගන්වති
පාසැල් දරුවා ගියේය,දරුවා පාසැල් ගියේය
දරුවෝ ගියෝය පාසැල්,දරුවෝ පාසැල් ගියෝය
දරුවෝ ගියහ පාසැල්,දරුවෝ පාසැල් ගියහ
පාසැල් දරුවා යයි,දරුවා පාසැල් යයි
දරුවා යන්නේය පාසැල්,දරුවා පාසැල්යන්නේය
දරුවෝ යති පාසැල්,දරුවෝ පාසැල් යති
පාසැල් දරුවෝ යන්නෝය,දරුවෝ පාසැල්යන්නෝය
ඈ අසයි බණ,ඈ බණ අසයි
බණ ඈ අසන්නීය,ඈ බණ අසන්නීය
ඈ ඇසුවාය බණ,ඈ බණ ඇසුවාය
උපාසිකාවෝ අසති බණ,උපාසිකාවෝ බණ අසති
උපාසිකාවෝ අසන්නෝය බණ,උපාසිකාවෝ බණ අසන්නෝය
බණ උපාසිකාවෝ ඇසූහ,උපාසිකාවෝ බණ ඇසූහ
උපාසිකාවෝ ඇසුවෝය බණ,උපාසිකාවෝ බණ ඇසුවෝය
ඔහු අසයි බණ,ඔහු බණ අසයි
ඔහු අසන්නේය බණ,ඔහු බණ අසන්නේය
බණ උපාසකයා ඇසුවේය,උපාසකයා බණ ඇසුවේය
උපාසකයෝ අසති බණ,උපාසකයෝ බණ අසති
උපාසකයෝ අසන්නෝය බණ,උපාසකයෝ බණ අසන්නෝය
උපාසකයෝ ඇසූහ බණ,උපාසකයෝ බණ ඇසූහ
බණ උපාසකයෝ ඇසුවෝය,උපාසකයෝ බණ ඇසුවෝය .
සෙලවෙයි ගස සුළඟට,ගස සුළඟට සෙලවෙයි
ගස සෙලැවුණි සුළඟට,ගස සුළඟට සෙලැවුණි
සුළඟට ගස සෙලවුණේය,ගස සුළඟට සෙලවුණේය
ගස් සෙලවෙයි සුළඟට,ගස් සුළඟට සෙලවෙයි
ගස් සෙලවුණි සුළඟට,ගස් සුළඟට සෙලවුණි
ගස් සෙලවුණේය සුළඟට,ගස් සුළඟට සෙලවුණේය
අපි නමදිමු දෙමාපියන්,අපි දෙමාපියන් නමදිමු
මා විසින් කියවේ පොත,මා විසින් පොත කියවේ
අප විසින් නැමදෙති දෙමාපියෝ,අප විසින් දෙමාපියෝ නැමදෙති
පුතා පිබිදෙයි අලුයම,පුතා අලුයම පිබිදෙයි
වඩුවා විසින් සදනු ලබයි පුටුව,වඩුවා විසින් පුටුව සදනු ලබයි
වඩුවා විසින් සදනු සෑදෙයි පුටුව,වඩුවා විසින් පුටුව සදනු සෑදෙයි
තාත්තා සේවකයා ලවා කරවයි වැඩ,තාත්තා සේවකයා ලවා වැඩ කරවයි
ලේඛකයෝ ලියති පොත්,ලේඛකයෝ පොත් ලියති
මම කඩමි මලක්,මම මලක් කඩමි
වඩුවා විසින් සදනු ලබයි පුටුව,වඩුවා විසින් පුටුව සදනු ලබයි
වඩුවා විසින් සදනු සෑදෙයි පුටුව,වඩුවා විසින් පුටුව සදනු සෑදෙයි
අප විසින් කඩනු ලැබේ මල්,අප විසින් මල් කඩනු ලැබේ
අප විසින් කඩනු කැඩේ මල්,අප විසින් මල් කඩනු කැඩේ
ගුරුවරුන් විසින් යහ මග යැවේ ශිෂ්‍යයෝ,ගුරුවරුන් විසින් ශිෂ්‍යයෝ යහ මග යැවේ
ගුරුවරුන් විසින් යහ මග යවනු ලැබේ ශිෂ්‍යයෝ,ගුරුවරුන් විසින් ශිෂ්‍යයෝ යහ මග යවනු ලැබේ .
අයියා සෑදූ හැඩයි සරුංගලය,අයියා සෑදූ සරුංගලය හැඩයි
ළමයා මාමා ලවා කඩවයි අඹ,ළමයා මාමා ලවා අඹ කඩවයි
මාමා කෙක්කෙන් කඩයි අඹ,මාමා කෙක්කෙන් අඹ කඩයි
ගස් පිරී තිබේ මල්වලින්,ගස් මල්වලින් පිරී තිබේ
විදිලි බුබුළුවලින් බබලයි තොරණ,විදිලි බුබුළුවලින් තොරණ බබලයි
අපි සතුන්ට දක්වමු කරුණාව,අපි සතුන්ට කරුණාව දක්වමු
අම්බලම මගීන්ගේ පිණිස නිමවා ඇත පහසුව,අම්බලම මගීන්ගේ පහසුව පිණිස නිමවා ඇත
වහලෙන් බිමට වැටේ වතුර,වහලෙන් වතුර බිමට වැටේ
බල්ලා එලියට ආවේය කුඩුවෙන්,බල්ලා කුඩුවෙන් එලියට ආවේය
ඇතාගේ සුදු පාටය දළ,ඇතාගේ දළ සුදු පාටය
ගසේ අතු කපා දමන්න ?,ගසේ අතු කපා දමන්නද ?
ඔහු පිහිනයි මුහුදේ,ඔහු මුහුදේ පිහිනයි
සතුරෝ ඇද වැටුනෝය රණබිමෙහි,සතුරෝ රණබිමෙහි ඇද වැටුනෝය
අඹ ගෙඩි පිරී ඇත ගස්වල,අඹ ගස්වල ගෙඩි පිරී ඇත
මා කියන අසන්න බස්,මා කියන බස් අසන්න
අපට කියන්න කතාවක්,අපට කතාවක් කියන්න
මම වදිමි අම්මාට,මම අම්මාට වදිමි
සිරිපාල ගියේ ය කඩයට,සිරිපාල කඩයට ගියේ ය
අත්තම්මා කිව්වාය කතනාචක්‌,අත්තම්මා කතනාචක්‌ කිව්වා ය
ඇත්තු ඇදී යති පේලියට,ඇත්තු පේලියට ඇදී යති
සමනලයින්‌ පිටින්‌ පියාබති රංචු,සමනලයින්‌ රංචු පිටින්‌ පියාබනති
ගස්‌ වැටෙයි සුලඟට,ගස්‌ සුලඟට වැටෙයි
ඇය නැළ වූවාය පුතු,ඇය පුතු නැළ වූවාය
මල්ලි ‌ගියේය පාසල්,මල්ලි පාසල්‌ ගියේය
ඔහු යයි රැකියාවට,ඔහු රැකියාවට යයි
ගායකයා ගයයි ගී,ගායකයා ගී ගයයි
නිවේදකයා කරයි නිවේදනය,නිවේදකයා නිවේදනය කරයි
පන්ති නායකයා කියවයි පොත,පන්ති නායකයා පොත කියවයි
ගුරැතුමිය පොත උගන්වයි,ගුරැතුමිය පොත උගන්වයි
ළමයා ගසයි බෝලයෙන්‌,ළමයා බෝලයෙන්‌ ගසයි
නළු රඟති නිළියෝ,නළු නිළියෝ රඟති
සිංහයෝ නොකති තණ,සිංහයෝ තණ නොකති
මම යමි නගරයට,මම නගරයට යමි
අපි යමු නගරයට,අපි නගරයට යමු
ඔබ යන්නෙහි නගරයට,ඔබ නගරයට යන්නෙහි
නුබලා යන්නෙහු නගරයට,නුබලා නගරයට යන්නෙහු
නගරයට ඔහු යයි,ඔහු නගරයට යයි
නගරයට අප යති,අප නගරයට යති
මම කළෙමි පාඩමි,මම පාඩමි කළෙමි
කොහිද ඔහු ?,ඔහු කොහිද ?
මේ මොකද් ?,මේ මොකද්ද ?
ඔබ ඇයි දුක්වන්නේ ?,ඔබ දුක්වන්නේ ඇයි ?
ඔබ ගෙවන්න කොහොමද කැමති ?,ඔබ ගෙවන්න කැමති කොහොමද ?
මට පුළුවන්ද එන්න ?,මට එන්න පුළුවන්ද ?
නිදිද ඔහු ?,ඔහු නිදිද ?
ඔබ දන්නවද මාව ?,ඔබ මාව දන්නවද ?
මගේ පොත ඔබ ළඟ තිබෙනව ?,මගේ පොත ඔබ ළඟ තිබෙනවද ?
විශාලද එය කොතරම් ?,එය කොතරම් විශාලද ?
ඔබට සහය වීමට හැකිද මට ?,ඔබට සහය වීමට මට හැකිද ?
මට සහය වීමට හැකිද ඔබට ?,මට සහය වීමට ඔබට හැකිද ?
අපි ‌යමු පාසල්,අපි පාසල්‌ යමු
අපි යන්නේමු පාසල්,අපි පාසල් යන්නේමු
පන්සල් අපි ‌ ගියෙමු,අපි පන්සල්‌ ගියෙමු
කෝවිලට නුඹ යහි,නුඹ කෝවිලට යහි
නුඹ යන්නෙහි කෝවිලට,නුඹ කෝවිලට යන්නෙහි
නුඹ ගියෙහි කෝවිලට,නුඹ කෝවිලට ගියෙහි
අවදි මම වෙමි,මම අවදි වෙමි
මම මඳිමි දත්‌,මම දත්‌ මඳිමි
මම සෝදමි මුහුණ,මම මුහුණ සෝදමි
